Departamento,Solicitud
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #53017)
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificado de notas 2023-2 para beca
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Problema con el pago de laboratorios (comprobante #68251)
Registro y control,Homologar Ética cursada en U externado
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Certificado de notas 2015-1 para visado
Administrativo,Certificado de notas 2015-1 para visado
Administrativo,Certificación de horas en voluntariado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Física II cursada en U Nacional
Registro y control,Homologar Programación cursada en U de los Andes
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #19834)
Administrativo,Certificado de notas 2023-1 para trabajo
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Homologar Física II cursada en U de los Andes
Administrativo,Duplicado de diploma de Medicina
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Física II
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Homologar Ética cursada en U del Valle
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Quiero cambiar de grupo la materia Física II
Registro y control,Quiero cancelar la materia Física II
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Álgebra Lineal
Registro y control,Homologar Física II cursada en U Javeriana
Registro y control,Homologar Cálculo I cursada en U Nacional
Registro y control,Quiero cancelar la materia Física II
Registro y control,Homologar Ética cursada en U Nacional
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Programación cursada en U Javeriana
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #57942)
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Certificación de horas en deporte universitario
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #89043)
Administrativo,Certificado de notas 2019-1 para trabajo
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cambiar de grupo la materia Ética
Apoyo financiero,Problema con el pago de matrícula (comprobante #10635)
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Duplicado de diploma de Derecho
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Homologar Cálculo I cursada en U Nacional
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Problema con el pago de laboratorios (comprobante #77453)
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por dificultades económicas
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Certificado de notas 2015-2 para visado
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Ética cursada en U de los Andes
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Quiero cambiar de grupo la materia Programación
Registro y control,Homologar Programación cursada en U Nacional
Registro y control,Inscripción extemporánea a Física II
Registro y control,Homologar Ética cursada en U del Valle
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificación de horas en voluntariado
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Física II
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Problema con el pago de matrícula (comprobante #80030)
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Homologar Química Orgánica cursada en U Javeriana
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Duplicado de diploma de Medicina
Registro y control,Inscripción extemporánea a Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Certificado de notas 2018-1 para beca
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #46155)
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificación de horas en deporte universitario
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,Problema con el pago de matrícula (comprobante #72068)
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Inscripción extemporánea a Ética
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Certificado de notas 2015-1 para visado
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Solicitud de beca por proyecto de investigación
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Duplicado de diploma de Derecho
Registro y control,Quiero cancelar la materia Álgebra Lineal
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Certificación de horas en deporte universitario
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #62500)
Apoyo financiero,Problema con el pago de matrícula (comprobante #21171)
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cancelar la materia Cálculo I
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Homologar Ética cursada en U Javeriana
Registro y control,Quiero cancelar la materia Cálculo I
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,Problema con el pago de matrícula (comprobante #74659)
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Homologar Programación cursada en U Javeriana
Registro y control,Homologar Programación cursada en U Javeriana
Administrativo,Duplicado de diploma de Medicina
Administrativo,Certificado de notas 2017-2 para beca
Registro y control,Inscripción extemporánea a Ética
Administrativo,Duplicado de diploma de Derecho
Registro y control,Quiero cambiar de grupo la materia Programación
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #85211)
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Duplicado de diploma de Medicina
Administrativo,Certificado de notas 2017-1 para visado
Administrativo,Certificado de notas 2021-2 para trabajo
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Homologar Álgebra Lineal cursada en U de los Andes
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Quiero cancelar la materia Álgebra Lineal
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cancelar la materia Ética
Administrativo,Certificado de notas 2020-1 para trabajo
Registro y control,Quiero cambiar de grupo la materia Programación
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Quiero cancelar la materia Física II
Administrativo,Certificación de horas en semillero de investigación
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #20639)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Problema con el pago de laboratorios (comprobante #25170)
Administrativo,Certificado de notas 2020-2 para trabajo
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2022-2 para trabajo
Apoyo financiero,Problema con el pago de matrícula (comprobante #96896)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Química Orgánica cursada en U del Valle
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2016-1 para trabajo
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2017-2 para trabajo
Administrativo,Certificado de notas 2021-2 para trabajo
Administrativo,Certificado de notas 2018-2 para beca
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Física II cursada en U Javeriana
Administrativo,Certificación de horas en voluntariado
Registro y control,Homologar Programación cursada en U externado
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Problema con el pago de laboratorios (comprobante #36102)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #24620)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en deporte universitario
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Problema con el pago de laboratorios (comprobante #32058)
Apoyo financiero,Problema con el pago de matrícula (comprobante #97724)
Registro y control,Aplazar semestre por situación familiar
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Registro y control,Quiero cancelar la materia Física II
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Solicitud de beca por deporte competitivo
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por dificultades económicas
Registro y control,Homologar Programación cursada en U del Valle
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Física II cursada en U del Valle
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Registro y control,Inscripción extemporánea a Cálculo I
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Programación
Administrativo,Certificado de notas 2015-1 para visado
Registro y control,Quiero cancelar la materia Ética
Administrativo,Certificado de notas 2023-1 para beca
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Inscripción extemporánea a Programación
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Aplazar semestre por situación familiar
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Problema con el pago de matrícula (comprobante #98309)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Cálculo I
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Problema con el pago de laboratorios (comprobante #40650)
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Homologar Ética cursada en U Javeriana
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Certificado de notas 2023-1 para beca
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en deporte universitario
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Solicitud de beca por excelencia académica
Apoyo financiero,Problema con el pago de matrícula (comprobante #12697)
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Quiero cambiar de grupo la materia Ética
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Ética cursada en U de los Andes
Registro y control,Homologar Física II cursada en U Nacional
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Solicitud de beca por excelencia académica
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Quiero cambiar de grupo la materia Física II
Administrativo,Certificado de notas 2020-1 para trabajo
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cambiar de grupo la materia Física II
Registro y control,Quiero cancelar la materia Álgebra Lineal
Apoyo financiero,Problema con el pago de laboratorios (comprobante #30386)
Administrativo,Certificado de notas 2018-2 para beca
Registro y control,Aplazar semestre por situación familiar
Registro y control,Inscripción extemporánea a Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Quiero cambiar de grupo la materia Programación
Registro y control,Quiero cancelar la materia Programación
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Inscripción extemporánea a Ética
Administrativo,Certificado de notas 2022-2 para trabajo
Registro y control,Quiero cambiar de grupo la materia Ética
Registro y control,Inscripción extemporánea a Física II
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Problema con el pago de laboratorios (comprobante #16611)
Registro y control,Homologar Programación cursada en U externado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Problema con el pago de matrícula (comprobante #83126)
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Inscripción extemporánea a Cálculo I
Administrativo,Duplicado de diploma de Derecho
Registro y control,Quiero cancelar la materia Física II
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Medicina
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en grupo de teatro
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2015-2 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Solicitud de beca por proyecto de investigación
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Aplazar semestre por situación familiar
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2017-1 para trabajo
Apoyo financiero,Problema con el pago de laboratorios (comprobante #12759)
Administrativo,Certificado de notas 2020-2 para trabajo
Registro y control,Homologar Ética cursada en U Nacional
Administrativo,Certificado de notas 2021-2 para trabajo
Registro y control,Homologar Física II cursada en U Javeriana
Administrativo,Certificado de notas 2023-1 para visado
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Homologar Cálculo I cursada en U de los Andes
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Administrativo,Certificado de notas 2020-1 para trabajo
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Aplazar semestre por situación familiar
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Inscripción extemporánea a Física II
Registro y control,Inscripción extemporánea a Programación
Administrativo,Certificación de horas en deporte universitario
Administrativo,Certificado de notas 2022-2 para beca
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Álgebra Lineal
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Administrativo,Certificado de notas 2021-2 para trabajo
Apoyo financiero,Solicitud de beca por dificultades económicas
Registro y control,Quiero cancelar la materia Física II
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2020-2 para trabajo
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Certificación de horas en deporte universitario
Registro y control,Inscripción extemporánea a Física II
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Solicitud de beca por deporte competitivo
Administrativo,Certificación de horas en deporte universitario
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Derecho
Administrativo,Certificado de notas 2019-2 para beca
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Certificado de notas 2021-1 para beca
Administrativo,Duplicado de diploma de Medicina
Registro y control,Quiero cancelar la materia Ética
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Solicitud de beca por proyecto de investigación
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Derecho
Administrativo,Duplicado de diploma de Ingeniería
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Álgebra Lineal
Registro y control,Homologar Álgebra Lineal cursada en U de los Andes
Administrativo,Certificado de notas 2023-1 para visado
Registro y control,Aplazar semestre por situación familiar
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Inscripción extemporánea a Física II
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cancelar la materia Ética
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Química Orgánica cursada en U Nacional
Registro y control,Homologar Álgebra Lineal cursada en U Nacional
Apoyo financiero,Problema con el pago de matrícula (comprobante #34515)
Registro y control,Homologar Química Orgánica cursada en U externado
Registro y control,Quiero cambiar de grupo la materia Ética
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Duplicado de diploma de Medicina
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Problema con el pago de laboratorios (comprobante #75367)
Registro y control,Quiero cambiar de grupo la materia Programación
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Inscripción extemporánea a Ética
Administrativo,Certificación de horas en voluntariado
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Quiero cancelar la materia Física II
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Inscripción extemporánea a Programación
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Problema con el pago de laboratorios (comprobante #40749)
Registro y control,Quiero cancelar la materia Álgebra Lineal
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Solicitud de beca por dificultades económicas
Apoyo financiero,Problema con el pago de matrícula (comprobante #23065)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #21842)
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #30789)
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Ingeniería
Administrativo,Certificado de notas 2023-2 para trabajo
Registro y control,Homologar Programación cursada en U externado
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Registro y control,Inscripción extemporánea a Cálculo I
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Quiero cambiar de grupo la materia Física II
Apoyo financiero,Problema con el pago de laboratorios (comprobante #52602)
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Certificación de horas en voluntariado
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Problema con el pago de laboratorios (comprobante #80914)
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Problema con el pago de laboratorios (comprobante #58803)
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Problema con el pago de matrícula (comprobante #10874)
Registro y control,Quiero cancelar la materia Ética
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #38462)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #67719)
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #10064)
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificado de notas 2021-1 para beca
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Problema con el pago de laboratorios (comprobante #40773)
Administrativo,Certificado de notas 2021-1 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Ética
Registro y control,Homologar Cálculo I cursada en U de los Andes
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Problema con el pago de matrícula (comprobante #56308)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Solicitud de beca por dificultades económicas
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Aplazar semestre por situación familiar
Registro y control,Inscripción extemporánea a Química Orgánica
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Problema con el pago de matrícula (comprobante #91589)
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #33324)
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Certificado de notas 2021-1 para beca
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Medicina
Registro y control,Inscripción extemporánea a Ética
Registro y control,Homologar Álgebra Lineal cursada en U externado
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Homologar Cálculo I cursada en U del Valle
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Homologar Cálculo I cursada en U externado
Registro y control,Homologar Programación cursada en U Javeriana
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Solicitud de beca por dificultades económicas
